Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Score Penalties,Attendance,Round_ID,Half-time Home Goals,Half-time Away Goals,Home Team Initials,Away Team Initials
2002,14 Jun 2002 - 15:30,Group H,Osaka Nagai Stadium,Osaka,Tunisia,0,2,Japan,0-0,45213,217,0,0,TUN,JPN
2002,14 Jun 2002 - 20:30,Group D,Incheon Football Stadium,Incheon,Portugal,0,1,Korea Republic,0-0,50239,217,0,0,POR,KOR
2002,14 Jun 2002 - 20:30,Group D,Daejeon World Cup Stadium,Daejeon,Poland,3,1,USA,0-0,26482,217,2,0,POL,USA
2002,14 Jun 2002 - 15:30,Group H,Shizuoka Stadium Ecopa,Shizuoka,Belgium,3,2,Russia,0-0,46640,217,1,0,BEL,RUS
2002,15 Jun 2002 - 20:30,Round of 16,Niigata Stadium Big Swan,Niigata,Denmark,0,3,England,0-0,40582,217,0,3,DEN,ENG
2002,15 Jun 2002 - 15:30,Round of 16,Jeju World Cup Stadium,Jeju,Germany,1,0,Paraguay,0-0,25176,217,0,0,GER,PAR
2002,16 Jun 2002 - 20:30,Round of 16,Suwon World Cup Stadium,Suwon,Spain,1,1,"rn"">Republic of Ireland",0-0,38926,217,0,0,ESP,IRL
2002,16 Jun 2002 - 15:30,Round of 16,Oita Stadium Big Eye,Oita,Sweden,1,2,Senegal,3–2,39747,217,0,0,SWE,SEN
2002,17 Jun 2002 - 20:30,Round of 16,Kobe Wing Stadium,Kobe,Brazil,2,0,Belgium,0-0,40440,217,0,0,BRA,BEL
2002,17 June 2002 - 15:30,Round of 16,Jeonju World Cup Stadium,Jeonju,Mexico,0,2,USA,0-0,36380,217,0,1,MEX,USA
2002,18 Jun 2002 - 15:30,Round of 16,Miyagi Stadium,Rifu,Japan,0,1,Turkey,0-0,45666,217,0,1,JPN,TUR
2002,18 Jun 2002 - 20:30,Round of 16,Daejeon World Cup Stadium,Daejeon,Korea Republic,2,1,Italy,0-0,38588,217,0,0,KOR,ITA
2002,21 Jun 2002 - 15:30,Quarter-finals,Shizuoka Stadium Ecopa,Shizuoka,England,1,2,Brazil,0-0,47436,217,1,1,ENG,BRA
2002,21 Jun 2002 - 20:30,Quarter-finals,Munsu Football Stadium,Ulsan,Germany,1,0,USA,0-0,37337,217,1,0,GER,USA
2002,22 Jun 2002 - 20:30,Quarter-finals,Osaka Nagai Stadium,Osaka,Senegal,0,1,Turkey,3–5,44233,217,0,0,SEN,TUR
2002,22 Jun 2002 - 15:30,Quarter-finals,Gwangju World Cup Stadium,Gwangju,Spain,0,0,Korea Republic,0-0,42114,217,0,0,ESP,KOR
2002,25 Jun 2002 - 20:30,Semi-finals,Seoul World Cup Stadium,Seoul,Germany,1,0,Korea Republic,0-0,65256,217,0,0,GER,KOR
2002,26 Jun 2002 - 20:30,Semi-finals,Saitama Stadium 2002,Saitama,Brazil,1,0,Turkey,0-0,61058,217,0,0,BRA,TUR
2002,29 Jun 2002 - 20:00,Third place,Daegu World Cup Stadium,Daegu,Korea Republic,2,3,Turkey,0-0,63483,217,1,3,KOR,TUR
2002,30 Jun 2002 - 20:00,Final,International Stadium Yokohama,Yokohama,Germany,0,2,Brazil,0-0,69029,217,0,0,GER,BRA
2006,09 Jun 2006 - 18:00,Group A,"FIFA World Cup Stadium, Munich",Munich,Germany,4,2,Costa Rica,0-0,66000,218,2,1,GER,CRC
2006,09 Jun 2006 - 21:00,Group A,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,Poland,0,2,Ecuador,0-0,52000,218,0,1,POL,ECU
2006,10 Jun 2006 - 15:00,Group B,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,England,1,0,Paraguay,0-0,48000,218,1,0,ENG,PAR
2006,10 Jun 2006 - 18:00,Group B,"FIFA World Cup Stadium, Dortmund",Dortmund,"rn"">Trinidad and Tobago",0,0,Sweden,0-0,62959,218,0,0,TRI,SWE
2006,10 Jun 2006 - 21:00,Group C,"FIFA World Cup Stadium, Hamburg",Hamburg,Argentina,2,1,C�te d'Ivoire,0-0,49480,218,2,0,ARG,CIV
2006,11 Jun 2006 - 15:00,Group C,Zentralstadion,Leipzig,"rn"">Serbia and Montenegro",0,1,Netherlands,0-0,43000,218,0,1,SCG,NED
2006,11 Jun 2006 - 18:00,Group D,Franken-Stadion,Nuremberg,Mexico,3,1,Iran,0-0,41000,218,1,1,MEX,IRN
2006,11 Jun 2006 - 21:00,Group D,"FIFA World Cup Stadium, Cologne",Cologne,Angola,0,1,Portugal,0-0,45000,218,0,1,ANG,POR
